,Company,HQ,Address**,City,ST,ZIP,County,Phone,Website,NAICS Code,Industry,Function,Source,St. Louis Employees,year
498,GMP Metal Products,,3883 Delor St.,St. Louis,MO,63116,City of St. Louis,(314) 481-0300,www.gmpmetal.com,332710,Manufacturing,Tool & Die/Machine Shops,3,325,2016
499,Highland Supply Corp,St. Louis MSA,1111 6th St,Highland,IL,62249-1408,Madison County,(618) 654-2161,www.hscorders.com,332999,Manufacturing,Manufactures metal and plastic sheets,1,325,2016
500,Monroe County,St. Louis MSA,100 S Main St,Waterloo,IL,62298,Monroe County ,(618) 939-8681,,921110,Public Administration,County Government,8,325,2016
501,Ritz-Carlton Hotel Co LLC,,100 Carondelet Plz,St. Louis,MO,63105-3434,St. Louis County,(314) 863-6300,www.marriott.com,721110,Accommodation & Food Services,Hotel/Motel Operation,6,325,2016
502,St. Louis Housing Authority,St. Louis MSA,4100 Lindell Blvd Fl 2,St. Louis,MO,63108-2914,City of St. Louis,(314) 531-4770,,925110,Public Administration,Housing Agency Government,1,325,2016
503,Tarlton Corporation,St. Louis MSA,5500 West Park Ave.,St. Louis,MO,63110,City of St. Louis,(314) 633-3300,www.tarltoncorp.com,233320,Construction,General Contractors,6,325,2016
504,Sachs Electric Co. ,St. Louis MSA,1572 Larkin Williams Rd.,Fenton,MO,63026,St. Louis County,(636) 532-2000,www.sachsco.com,23,Construction,Electrical contractor,6,323,2016
505,Youth In Need,St. Louis MSA,1815 Boones Lick Rd,St. Charles,MO,63301-2247,St. Charles County,(636) 946-2303,www.youthinneed.org,624410,Other Services,Child Day Care Services Individual/Family Svcs,"1,7",323,2016
506,CVS Caremark,,4100 Gravois Ave.,St. Louis,MO,63116,City of St. Louis,(314) 762-0752,,446110,Retail Trade,Pharmacy,8,322,2016
507,Costco Wholesale Corp,,200 Costco Way,St. Peters,MO,63376-4385,St. Charles County,(636) 970-4004,www.costco.com,452910,Retail Trade,Ret Misc General Merchandise Ret Auto/Home Supplies,1,320,2016
508,Gaming Development Entertainment Company,St. Louis MSA,1600 Heritage Landing,St. Charles,MO,63303,St. Charles County,(636) 939-2460,www.growlerspub.com,722211,Accommodation & Food Services,Restaurants,3,320,2016
509,GENCO Distribution Systems,,5620 Inner Park Dr.,Edwardsville,IL,62025,Madison County,(618) 931-2765,,4224,Wholesale Trade,Food and Beverage Distributor,5,320,2016
510,Gerald Industries Inc,St. Louis MSA,625 W Industrial Dr,Gerald,MO,63037-2011,Franklin County,(573) 764-2262,,332911,Manufacturing,"Manufactures valves, hoses, and refridgeration equipment",1,320,2016
511,TreeHouse Foods,"Oakbrook, IL",800 Market Street  ,St. Louis,MO,63101,City of St. Louis,(314) 877-7000,www.treehousefoods.com,3118,Manufacturing,Food manufacturer,7,320,2016
512,Flesh Company,St. Louis MSA,2118 S. 59th St.,St. Louis,MO,63110,City of St. Louis,(314) 781-4400,www.fleshco.com,323110,Manufacturing,Business Form Suppliers,3,318,2016
513,Franklin County,St. Louis MSA,400 E Locust St Rm 206,Union,MO,63084-1862,Franklin County,(636) 583-6358,,921120,Public Administration,Legislative Body,8,315,2016
514,The Reliable Life Insurance Company,,12115 Lackland Rd.,St. Louis,MO,63146,St. Louis County,(314) 819-4300,,524113,Finance & Insurance,Insurance,5,315,2016
515,Distribution Control Systems,St. Louis MSA,945 Hornet Dr,Hazelwood,MO,63042-2309,St. Louis County,(314) 895-5390,www.escotechnologies.com,335313,Manufacturing,Manufactures panel & distribution boards & other related apparatus,1,313,2016
516,R.P. Lumber Co. and Plummer Cos.,,514 E. Vandalia,Edwardsville,IL,62025,Madison County,(618) 656-1514,www.rplumber.com,4441,Retail Trade,Lumber & Hardware,6,312,2016
517,Eckelkamp Enterprises,St. Louis MSA,Main and Oak Streets,Washington,MO,63090,Franklin County,(636) 238-7861,,561,Finance & Insurance,Banking,3,310,2016
518,Judiciary Courts of The State of Missouri,,920 N Vandeventer Ave,St. Louis,MO,63108-3530,City of St. Louis,(314) 552-2000,www.state.mo.us,922110,Public Administration,Court Of Law,1,310,2016
519,Rose International Inc. ,St. Louis MSA," 16401 Swingley Ridge Rd., Suite 300",Chesterfield,MO,63017,St. Louis County,(636) 812-4000,www.roseint.com,561410,Professional & Scientific & Technical Services,Internet software,6,307,2016
520,YWCA Metro St. Louis,St. Louis MSA,3820 West Pine Blvd.,St. Louis,MO,63108,City of St. Louis,(314) 531-1115,www.ywcastlouis.org,813319,Other Services,Social Services,6,307,2016
521,Affton 101 School District,St. Louis MSA,8701 Mackenzie Rd.,St. Louis,MO,63123,St. Louis,(314) 638-8770,www.affton.k12.mo.us,611110,Educational Services,Public School Districts,5,306,2016
522,UMB Financial Corporation,,1041 S. Woods Mill Rd,Chesterfield,MO,63017,St. Louis County,(314) 621-1000,www.umb.com,522110,Finance & Insurance,Commercial Lending,6,306,2016
523,Pauwels Transformers Inc,,1 Pauwels Dr,Washington,MO,63090-1134,Franklin County,(636) 239-9300,,335311,Manufacturing,Manufactures electronic meter transformers,2,305,2016
524,Corrigan Brothers Inc,St. Louis MSA,3545 Gratiot St,St. Louis,MO,63103-2921,City of St. Louis,(314) 771-6200,,238220,Construction,Plumbing/Heating/Air Cond Contractor Roofing/Siding Contractor Water/Sewer/Utility Construction,1,304,2016
525,Food Service Consultants Inc,,2370 Schuetz Rd,St. Louis,MO,63146-3412,St. Louis County,(314) 569-3663,www.foodserviceconsultants.net,541611,Professional & Scientific & Technical Services,Management Consulting Services Help Supply Services Eating Place,1,304,2016
526,Baldor Electric Co Inc,"Fort Smith, AR",13678 Lakefront Drive ,St. Louis,MO,63045,City of St. Louis,(314) 373-3032,www.baldor.com,335312,Manufacturing,Manufactures electric motor & generator parts; wholesales electric motors,1,302,2016
527,Eldercare Inc,St. Louis MSA,727 N 17th St,Belleville,IL,62226-6552,St. Clair County,(618) 234-3323,,623110,Health Care & Social Assistance,Skilled Nursing Facility,1,301,2016
528,Advanced Nursing Services of St. Louis,St. Louis MSA,141 N. Meramec Ave. #102,St. Louis,MO,63105,St. Louis,(314) 863-3030,www.advancednursing.com,621610,Health Care & Social Assistance,Home Health Care,3,300,2016
529,AFB International Inc.,St. Louis MSA,3 Research Park Dr.,St. Charles,MO,63304,St. Charles County,(636) 281-0040,http://afbinternational.com,311111,Manufacturing,Biotech - Dog and Cat Food,3,300,2016
530,Alton Steel Inc.,St. Louis MSA,#5 Cut Street,Alton,IL,62002,Madison County,(618) 463-1490,www.altonsteel.com,33111,Manufacturing,Steel mill,7,300,2016
531,American Railcar Industries,St. Louis MSA,100 Clark St,St. Charles,MO,63301-2075,St. Charles County,(636) 940-6000,www.acfindustries.com,336510,Manufacturing,Manufactures railroad equipment; transportation consultant,3,300,2016
532,America's Center Catering,St. Louis MSA,701 Convention Plz,St. Louis,MO,63101,City of St. Louis,(314) 342-5055,www.americascenterevents.com,722320,Accommodation & Food Services,Catering Service,1,300,2016
533,Aramark Corp,"Philadelphia, PA",14141 Riverport Dr,Maryland Heights,MO,63043-4807,St. Louis County,(314) 291-1788,www.aramark.com,722211,Accommodation & Food Services,Restaurant,1,300,2016
534,Associated Rehabilitation Svcs,,2127 Innrblt Bs Ctr Dr,St. Louis,MO,63114-5700,St. Louis County,(314) 506-8899,,621340,Health Care & Social Assistance,Rehabilitation Services,1,300,2016
535,Astro Building Services Inc,St. Louis MSA,2415 N Illinois St B,Belleville,IL,62226-2940,St. Clair County,(618) 235-4006,,561720,"Administrative & Support, Waste Management & Remediation Services",Building Maintenance Services,1,300,2016
536,Bass Pro Inc,"Springfield, MO ",1365 S 5th St,St. Charles,MO,63301-2457,St. Charles County,(636) 688-2500,www.basspro-shops.com,451110,Retail Trade,Ret Sporting Goods/Bicycles,1,300,2016
537,Bausch & Lomb Surgical Company ,St. Louis MSA,3365 Tree Court Industrial Blvd.,St. Louis,MO,63122,St. Louis County,(800) 325-9929,www.bauschsurgical.com,339115,Manufacturing,Medical equipment/Biotech,8,300,2016
538,Blackwell Sanders Peper Martin LLP ,,"720 Olive St., 24th floor",St. Louis,MO,63101,City of St. Louis,(314) 345-6000,www.blackwellsanders.com,,Professional & Scientific & Technical Services,Law firm,1,300,2016
539,Branding Iron Holdings Inc.,,1682 Sauget Business Blvd.,Sauget,IL,62206,St. Clair County,(618) 337-8400,www.holtenmeat.com,,Manufacturing,Meat processing for institutions and retail,6,300,2016
540,Carelinc Options LLC,St. Louis MSA,2127 Innrblt Bs Ctr Dr 10,St. Louis,MO,63114-5700,St. Louis County,(314) 506-8814,www.carelincoptions.com ,623220,Health Care & Social Assistance,Rehab,1,300,2016
541,Center Pointe Hospital,,5931 Highway 94 South,St. Charles,MO,63304,St. Charles County,(636) 441-7300,,622210,Health Care & Social Assistance,Hospitals - General,3,300,2016
542,Cobro Corp.,,4 Research Park Dr.,St. Charles,MO,63304,St. Charles County,(636) 498-6604,,421610,Wholesale Trade,Safety & Security Equipment,3,300,2016
543,Crossroads Courier Inc,St. Louis MSA,4348 Green Ash Drive,St. Louis,MO,63045,St. Louis County,(314) 222-4000,www.crossroadscourier.com,484110,Transportation & Warehousing,Local Trucking Operator,8,300,2016
544,Department of Corrections IL,,PO Box 129,East St. Louis,IL,62202-0129,St. Clair County,(618) 394-2200,www.idoc.state.il.us,922140,Public Administration,Correction Facility,1,300,2016
545,Department of Corrections MO,,18701 Old Highway 66,Pacific,MO,63069-3526,St. Louis County,(636) 257-3322,www.state.mo.us,922140,Public Administration,Correctional Facility,1,300,2016
546,DeSoto School District,St. Louis MSA,610 Vineland School Road,DeSoto,MO,63020,Jefferson County,(636) 586-1000,,611110,Educational Services,Elementary and Secondary Schools,3,300,2016
547,Diagraph,,3401 Rider Trail South,Earth City,MO,63045,St. Louis County,(800) 521-3047,www.diagraph.com,339944,Manufacturing,Product identification systems,3,300,2016
548,DOE Run Resources Corp,,881 Main St,Herculaneum,MO,63048-1222,Jefferson County,(636) 479-5311,www.doerun.com,212231,Utilities,Mining and manufacturing lead & zinc,1,300,2016
549,Donald Danforth Plant Science Center ,St. Louis MSA,975 North Warson Rd.,Creve Coeur,MO,63132,St. Louis County,(314) 587-1000,www.danforthcenter.org,54,Professional & Scientific & Technical Services,Biotech - botanical research,3,300,2016
550,Empire Comfort Systems Inc.,,918 Freeburg Ave,Belleville,IL,62220,St. Clair County,(618) 233-7420,www.empirecomfort.com,332710,Manufacturing, Tool & Die/Machine Shops,3,300,2016
551,Energy Fleet Resources Inc,St. Louis MSA,14528 S Outer 40 Ste 210,Chesterfield,MO,63017-5743,St. Louis County,(314) 542-2266,www.cpclogistics.com,561320,Other Services,Help Supply Services,1,300,2016
552,Enterprise Financial Services Corp ,St. Louis MSA,150 N. Meramec,Clayton,MO,63105,St. Louis County,(314) 725-5500,www.enterprisebank.com,522110,Finance & Insurance,Bank holding company (Enterprise Bank & Trust),3,300,2016
553,Exxon Mobil Corporation,"Dallas, TX",14491 Brushy Mound Rd,Carlinville,IL,62626,Macoupin County,(217) 854-3291,http://www.exxon.mobil.com,221112,Utilities,Coal Mining & Processing,8,300,2016
554,Fiserv Solutions Inc,,2465 Centerline Industrial Dr,Maryland Heights,MO,63043-3307,St. Louis County,(314) 991-1000,www.fiserv.com,323119,Manufacturing,Letterpress printing,1,300,2016
555,GlaxoSmithKline ,,320 S. Broadway,St. Louis,MO,63102,City of St. Louis,(314) 621-2304,www.glaxosmithkline.com,325,Manufacturing,Biotech - Manufacture tums antacids,3,300,2016
556,Greenville Regional Hospital,,200 Healthcare Dr.,Greenville,IL,62246,Bond County,(618) 664-1230,www.greenvilleregionalhospital.com,622210,Health Care & Social Assistance,Hospitals - General,3,300,2016
557,Grey Eagle Distributors,St. Louis MSA,2340 Millpark Dr.,St. Louis,MO,63043,St. Louis County,(314) 429-9100,www.greyeagle.com,424,Wholesale Trade,Distribution of AB-InBev products,6,300,2016
558,Hdh LLC,,1 S Broadway,St. Louis,MO,63102-1703,City of St. Louis,(314) 421-1776,,721110,Accommodation & Food Services,Hotel/Motel Operation,1,300,2016
559,IKEA,Sweden,1 Ikea Way,St. Louis,MO,63108,City of St. Louis,(888) 888-4532,www.ikea.com,,Retail Trade,Furniture store,6,300,2016
560,Junior College District of Jefferson County,St. Louis MSA,1000 Viking Dr,Hillsboro,MO,63050-2440,Jefferson County,(636) 789-3000,www.jeffco.edu,611210,Educational Services,Junior College College/University,1,300,2016
561,"Kaskaskia College, Community",St. Louis MSA,27210 College Rd,Centralia,IL,62801-7800,Clinton County,(618) 545-3000,www.kc.cc.il.us,611210,Educational Services,Junior College College/University,8,300,2016
562,Lockwood Equities Inc,St. Louis MSA,17 W Lockwood Ave,St. Louis,MO,63119-2931,St. Louis County,(314) 968-2205,,237210,Real Estate & Rental & Leasing,Real Estate Developer And Syndicator,1,300,2016
563,Mahle Engine Components USA,,14161 Manchester Rd,Ballwin,MO,63011-4511,St. Louis County,(636) 394-3700,,336311,Manufacturing,Manufactures pistons & piston rings; wholesales automotive engines & engine parts,1,300,2016
564,Marquipwardunited Inc,,8020 Forsyth Blvd,St. Louis,MO,63105-1707,St. Louis County,(314) 862-8000,,238130,Manufacturing,Mfg Corrugurated Equipments,1,300,2016
565,Mary Institute and Saint Louis Country Day School,St. Louis MSA,101 North Warson Rd.,St. Louis,MO,63124,St. Louis,(314) 993-5100,www.micds.org,611110,Educational Services,Private & Preparatory Schools,3,300,2016
566,Mascoutah Community School,St. Louis MSA,720 W Harnett St,Mascoutah,IL,62258-1121,St. Clair County,(618) 566-7414,,611110,Educational Services,Elementary/Secondary School Management Services,1,300,2016
567,McKnight Place Partnership LP,St. Louis MSA,One McKnight Place,St. Louis,MO,63124,St. Louis,(314) 993-0111,,623110,Health Care & Social Assistance,Residential Care - Elderly,3,300,2016
568,Midwest BankCentre,St. Louis MSA,6810 Page Ave.,St. Louis ,MO ,63133,St. Louis County,(314) 631-5500,www.midwestbankcentre.com,,Finance & Insurance,Banking,7,300,2016
569,Missouri Athletic Club,St. Louis MSA,405 Washington Ave.,St. Louis,MO,63102,City of St. Louis,(314) 231-7220,www.mac-stl.org,7997,Accommodation & Food Services,Luncheon and Suppler Clubs,3,300,2016
570,Missouri Department Of Social Services,,4411 N Newstead Ave,St. Louis,MO,63115-2534,City of St. Louis,(314) 877-2010,,923130,Public Administration,Social Services,1,300,2016
571,Moto Inc. ,St. Louis MSA,721 West Main St.,Belleville,IL,62220,St. Clair County,(618) 233-6754,www.motomart.net ,,Retail Trade,Convenience Stores and Gas Stations,6,300,2016
572,Nooter Construction Company Inc.,,1500 S. 2nd St.,St. Louis,MO,63104,City of St. Louis,(314) 421-7600,www.nooterconstruction.com,233320,Construction,General Contractors,3,300,2016
573,Northwestern Mutual Financial Network - The Qualy Group,,701 Market St.,St. Louis,MO,63101,City of St. Louis,(314) 231-3931,http://stlouis.nm.com,524113,Finance & Insurance,Insurance,2,300,2016
574,Nurse 4 U Express Healthcare,,3216 N Highway 67,Florissant,MO,63033-1646,St. Louis County,(314) 921-0700,,621999,Health Care & Social Assistance,Medical Organization Services,1,300,2016
575,Pantheon,"Durham, NC",4766 La Guardia Dr.,Berkeley,MO,63134,St. Louis County,(314) 426-5000,www.gallusbiopharma.com,325,Manufacturing,Biotech - Biopharma/Biotech,6,300,2016
576,Presence From Innovation (PFI),St. Louis MSA,2290 Ball Dr.,St. Louis,MO,63146,St. Louis,(314) 423-9777,www.pfinnovation.com,541850,Professional & Scientific & Technical Services,Other Media - Displays,3,300,2016
577,Printpack Flexible Packaging Division,,310 McDonnell Blvd.,Hazelwood,MO,63042,St. Louis,(314) 731-6700,,326112,Manufacturing,Plastic- Packaging,3,300,2016
578,Procter & Gamble,,169 E. Grand Ave.,St. Louis,MO,63147,St. Louis County,(314) 622-8200,www.pg.com,325,Manufacturing,Chemical Manufacturing,5,300,2016
579,Reckitt & Benckiser North America,,30 Arrowhead Industrial Blvd.,St. Peters,MO,63376,St. Charles County,(636) 397-2511,www.reckitt.com,325,Manufacturing,Chemical Manufacturing,3,300,2016
580,River City Internet Group ,St. Louis MSA,11756 Borman Dr.,St. Louis,MO,63146,St. Louis County,(314) 692-3500,www.rcig.net,,Information,Internet Services,3,300,2016
581,Rural Development,,1520 Market St FC42,St. Louis,MO,63103-2620,City of St. Louis,(314) 539-2404,www.ksrdc.org,926140,Public Administration,Delivery Of Rural Housing Loan And Grant Programs,1,300,2016
582,Schmitt (Jack) Family of Dealerships,,127 Regency Park,O'Fallon,IL,62269,St. Clair County,(618) 628-2500,www.jackschmitt.net,4411,Retail Trade,Automobile Dealerships,3,300,2016
583,Sensient Colors Inc,,PO Box 14538,St. Louis,MO,63178-0538,City of St. Louis,(314) 889-7600,www.sensientcolors.com,424950,Wholesale Trade,Wholesales colors & pigments; manufactures flavoring extracts & syrups,1,300,2016
584,Sheraton Westport Hotels,,900 Westport Plaza,St. Louis,MO,63246,,(314) 878-1500,sheratonwestport.com,721110,Accommodation & Food Services,Hotel/Motel Operation,6,300,2016
585,Shriners Hospitals For Children,,2001 S Lindbergh Blvd,St. Louis,MO,63131-3597,St. Louis County,(314) 432-3600,,622110,Health Care & Social Assistance,Specialty Hospital General Hospital,1,300,2016
586,Siemens Technical Services St. Louis Field Office,,11601 Lilburn Park Rd.,St. Louis,MO,63146,St. Louis,(314) 991-1901,www.siemens.com,3353,Manufacturing,Electrical Equipment,3,300,2016
587,St. Charles City - County Library District,St. Louis MSA,77 Boone Hills Drive,St. Peters,MO,63376,St. Charles County,(636) 441-2300,www.win.org/library/scccld.html,514120,Educational Services,Libraries- Public,3,300,2016
588,Synergetics Inc.,St. Louis MSA,3845 Corporate Centre Dr.,O'Fallon,MO,63368,St. Charles County,(636) 939-5100,www.synergeticsusa.com,339112,Manufacturing,Biotech - Ophthalmic Equipment,3,300,2016
589,Triad Manufacturing,,4321 Semple Ave.,St. Louis,MO,63120,City of St. Louis,(314) 381-5280,www.triadmfg.com,339950,Manufacturing,Sign Manufacturing,3,300,2016
590,True Fitness Technologies Inc.,,865 Hoff Rd.,O'Fallon,MO,63366,St. Charles County,(636) 272-7100,www.truefitness.com,33992,Manufacturing,Sports and Rec Equipment,3,300,2016
591,Valitas Health Services ,St. Louis MSA,12647 Olive Blvd.,St. Louis,MO,63141,St. Louis County,(800) 325-4809,www.cmsstl.com,,Health Care & Social Assistance,Prison Health Care,6,300,2016
592,Volume Services Inc,,PO Box 200,Madison,IL,62060-0200,Madison County,(618) 875-7541,www.volumeservicesamerica.com,722211,Accommodation & Food Services,Eating Place,8,300,2016
593,Von Weise Gear Co,,100 St Clair Ind Park,St. Clair,MO,63077-3051,Franklin County,(636) 629-1010,www.tecumseh.com,333612,Manufacturing,"Manufactures motors, gears, drives and generators",1,300,2016
594,Washington Group International,,7295 S Highway 94,St. Charles,MO,63304-2203,St. Charles County,(636) 441-8086,www.urscorp.com,237110,Construction,Construction Of Water Treatment Plants,1,300,2016
595,West Star Aviation,St. Louis MSA,18 Terminal Dr.,East Alton,IL,62024,Madison County,(618) 259-3230,www.weststaraviation.com,4812,Transportation & Warehousing,"Aviation - Aircraft Sales, Charters & Leasing",9,300,2016
596,Yoh (H. L.) Co.,,"14323 S. Outer Forty, Suite 484",Chesterfield,MO,63017,St. Louis,(314) 878-0666,www.yoh.com,56,"Administrative & Support, Waste Management & Remediation Services",Consulting Engineers - Contract,3,300,2016
597,Jewish Center For Aged Inc,St. Louis MSA,13190 S Outer 40,Chesterfield,MO,63017-5917,St. Louis County,(314) 434-3330,www.cedarsjca.com,623110,Health Care & Social Assistance,Skilled Nursing Care Facility,1,298,2016
598,KPMG LLP,,10 S. Broadway,St. Louis,MO,63101,City of St. Louis,(314) 444-1400,www.us.kpmg.com,541211,Professional & Scientific & Technical Services,Accounting/Auditing/Bookkeeping,6,297,2016
599,Vantage Credit Union,St. Louis MSA,P.O. Box 4433,Bridgeton,MO ,63044,St. Louis County,(314) 298-0055,www.vcu.com,522130,Finance & Insurance,Credit Union,7,296,2016
600,Kelly Mitchell Group Inc. ,St. Louis MSA,8229 Maryland Ave.,Clayton,MO,63105,St. Louis County,(314) 727-1700,www.kellymitchell.com,,Professional & Scientific & Technical Services,Computer consulting,6,295,2016
601,City of University City,St. Louis MSA,6801 Delmar Blvd,St. Louis,MO,63130-3104,St. Louis County,(314) 862-6767,,921110,Public Administration,Executive Office,1,290,2016
602,CMS Inc. ,,1145 Corporate Lake Dr.,St. Louis,MO,63132,St. Louis County,(800) 878-4267,www.cmsrtp.com,,Information,Health care software,3,290,2016
603,Fontbonne University,St. Louis MSA,6800 Wydown Blvd,St. Louis,MO,63105-3043,St. Louis County,(314) 889-1400,www.fontbonne.edu,611310,Educational Services,College/University,1,290,2016
604,Midland States Bank,"Effingham, IL",212 S. Central Ave.,Clayton,MO,63105,City of St. Louis,(314) 512-8500,www.midlandsb.com,522120,Finance & Insurance,Savings and Loan,5,290,2016
605,Purcell Tire & Rubber Co.,St. Louis MSA,301 N. Hall St.,Potosi,MO,63664,Washington County,(573) 438-2131,www.purcelltire.com,,Retail Trade,Tire company,6,290,2016
606,Riverview Gardens School Dist,St. Louis MSA,1218 Shepley Dr,St. Louis,MO,63137-3505,St. Louis County,(314) 869-4700,,611110,Educational Services,Elementary/Secondary School,1,290,2016
607,Sisters of St Joseph of Carondelet ,,2 Nazareth Ln Stop 1,St. Louis,MO,63129-7601,St. Louis County,(314) 487-3950,www.csjsl.org,623312,Health Care & Social Assistance,Residential Care Services Intermediate Care Facility Skilled Nursing Care Facility,1,290,2016
608,Trimaco,St. Louis MSA,3333 Washington Blvd,St. Louis,MO,63103,City of St. Louis,(314) 534-5005,www.timaco.com,421850,Wholesale Trade,Cleaning & Janitorial Supplies,3,290,2016
609,Keeley Cos. ,St. Louis MSA,1425 N. Ashby Rd.,St. Louis,MO,63132,St. Louis County,(314) 426-5200,www.keeleycompanies.com,,Manufacturing,heavy cilvil and general contracting ,6,285,2016
610,Sysco Food Services of St. Louis,,3850 Mueller Rd,St. Charles,MO,63301-8042,St. Charles County,(636) 940-9230,www.sysco.com,424410,Wholesale Trade,Whole groceries,1,285,2016
611,Xerox Corp,,3221 McKelvey Rd Ste 300,Bridgeton,MO,63044-2551,St. Louis County,(314) 344-3800,www.xerox.com,811219,Retail Trade,Electrical Repair Computer Maintenance/Repair Whol Office Equipment,1,285,2016
612,Jacobs Engineering - St. Louis,St. Louis MSA,501 N. Broadway,St. Louis,MO,63102,City of St. Louis,(314) 335-4000,www.jacobs.com,541330,Construction,Consulting Engineers - Civil,6,283,2016
613,ADT Security Services Inc,"Boca Raton, Fl ",3401 Rider Trail South,Earth City,MO,63045,St. Louis County,(314) 621-4600,www.adt.com,561621,"Administrative & Support, Waste Management & Remediation Services",Burglar Alarm Systems,1,280,2016
614,Greyhound Lines Inc.,,1450 North 13th St.,St. Louis,MO,63106,City of St. Louis,(314) 621-5885,,48511,Transportation & Warehousing,Local Transportation Systems,3,280,2016
615,Moneta Group,,"100 S. Brentwood Blvd., Suite 500",Clayton,MO,63105,St. Louis County,(314) 726-2300,www.monetagroup.com,,,"Family CFO services, risk management, tax planning, institutional consulting, full-service financial management",7,280,2016
616,MSCI Inc.,,11814 Borman Dr.,St. Louis,MO,63146,St. Louis,(314) 993-1887,www.lason.com,514210,Information,Micrographics/Microfilm Equipment,3,280,2016
617,Xspedius Communications LLC,St. Louis MSA,"5555 Winghaven, Suite 300",O'Fallon,MO,63366,St. Charles County,(636) 625-7000,www.xspedius.com,,Information,"Voice, data, and internet services",,280,2016
618,Young Innovations Inc.,St. Louis MSA,13705 Shoreline Court East,Earth City,MO,63045,St. Louis County,(314) 344-0010,www.ydnt.com,325,Manufacturing,Biotech - Chemicals & Chemical Products,3,280,2016
619,Southwest Airlines,"Dallas, TX",212 N. Kingshighway Blvd.,St. Louis,MO,63108,City of St. Louis,(314) 367-3432,www.southwest.com,4811,Transportation & Warehousing,Airlines,2,279,2016
620,Greensfelder Hemker & Gale PC,St. Louis MSA,"10 South Broadway, Suite 2000",St. Louis,MO,63102,City of St. Louis,(314) 241-9090,www.greensfelder.com,541110,Professional & Scientific & Technical Services,Legal Services Office,3,278,2016
621,Brown Smith Wallace,St. Louis MSA,1050 N. Lindbergh,St. Louis,MO,63132,St. Louis County,(314) 983-1200,www.bswllc.com,541211,Professional & Scientific & Technical Services,"Accounting, Auditing, & Bookkeeping",6,277,2016
622,Technology Partners Inc.,,707 Spirit 40 Park Dr. Suite 120,Chesterfield,MO,63005,St. Louis County,(877) 636-1331,www.technologypartners.net,,Professional & Scientific & Technical Services,"IT staffing, project development, contract, managed staffing services",6,276,2016
623,Autotire Car Care Centers,,11 Lami Industrial Dr.,St. Peters,MO,63304,St. Charles County,(636) 441-1095,,811111,Other Services,Vehicle Service and Repair,3,275,2016
624,Charles E Jarrell Contracting,St. Louis MSA,4208 Rider Trl N,Earth City,MO,63045-1105,St. Louis County,(314) 291-0100,www.cejarrell.com,238220,Construction,Warm air heating & air conditioning contractor; sheet metal work contractor; manufactures metal forming machine tools; sheet metal fabricator,6,275,2016
625,McClatchy Newspapers Inc,,PO Box 427,Belleville,IL,62222-0427,St. Clair County,(618) 234-1000,www.mcclatchy.com,511110,Information,Newspaper publisher,1,275,2016
626,Meramec Group Inc. ,,338 Ramsey St.,Sullivan,MO,63080,Franklin County,(573) 468-3101,,,Manufacturing,Plastic & Rubber Products,8,275,2016
627,Momentum-NA Inc,,7930 Clayton Rd Ste 400,St. Louis,MO,63117-1327,St. Louis County,(314) 646-6200,www.interpublic.com,541820,Professional & Scientific & Technical Services,Public Relations Services Advertising Agency Commercial Nonphysical Research,1,275,2016
628,Nordstrom,,47 West County Center,St. Louis,MO,63131,St. Louis County,(314) 255-2000,www.nordstrom.com,4481,Retail Trade,Apparel and Footwear,5,275,2016
629,"Realtime Results, LLC",St. Louis MSA,12444 Powerscort Dr #375,Saint Louis,MO,63131,City of St. Louis,(314) 821- 2500,www.realtimeresults.com,561499,Information,Computer and Telecommunication,,275,2016
630,Rock Hill Mechanical Corp,St. Louis MSA,524 Clark Ave,St. Louis,MO,63122-6401,St. Louis County,(314) 966-0600,www.rhmcorp.com,238220,Construction,Plumbing/Heating/Air Cond Contractor,,275,2016
631,Roxana Community Unit School District #1,St. Louis MSA,401 North Chaffer Ave.,Roxana,IL,62084,Madison County,(618) 254-7544,www.roxana.k12.il.us,611110,Educational Services,Public School Districts,3,275,2016
632,St. Gobain Container LLC,,1500 Saint Gobain Dr,Pevely,MO,63070-1503,Jefferson County,(636) 479-4421,www.sgcontainers.com,327213,Manufacturing,Manufactures glass containers,1,275,2016
633,Steris Corporation (St. Louis Operations),,7501 Page Ave.,St. Louis,MO,63133,St. Louis,(314) 290-4600,www.steris.com,3391,Manufacturing,"Biotech - Health Care Instruments, Equipment & Supplies",3,275,2016
634,Zip Mail Services Inc.,St. Louis MSA,288 Hanley Industrial Court,St. Louis,MO,63144,St. Louis,(314) 645-5055,www.zipmailservices.com,541860,Professional & Scientific & Technical Services,Direct Mail Packaging & Fulfillment,3,275,2016
635,"Alton, City of",St. Louis MSA,101 E 3rd St,Alton,IL,62002-6239,Madison County,(618) 463-3532,www.altonpolice.com,925120,Public Administration,Urban/Community Development,1,274,2016
636,Deloitte LLP,,100 S. Fourth St.,St. Louis,MO,63102,City of St. Louis,(314) 342-4900,www.deloitte.com,541211,Professional & Scientific & Technical Services,"Accounting, Auditing, & Bookkeeping",6,274,2016
637,Tip Vna,,1809 W. McCord,Centralia,IL,62801,Clinton County,(618) 533-2781,,621610,Health Care & Social Assistance,Home health care,8,274,2016
638,Homeland Security Corp,,7645 Magna Dr Ste 2,Belleville,IL,62223-3385,St. Clair County,(618) 234-7728,www.about-hsc.com,561613,Other Services,Protective Guard Service/Personal Protection/Guard Services/Property Protection Services,1,272,2016
