Symbol,ISIN,Name,Company Description
LFG.FR,FR0000120537,Lafarge,"LAFARGE SA IS A FRANCE BASED COMPANY WHICH PRODUCES AND SELLS BUILDING MATERIALS THAT INCLUDE CEMENT, AGGREGATES, READY MIX, CONCRETE, GYPSUM WALLBOARD, AND RELATED PRODUCTS, PRIMARILY UNDER THE LAFARGE BRAND. ITS PRODUCTS ARE USED TO BUILD AND RENOVATE RESIDENTIAL, COMMERCIAL AND PUBLIC WORKS. THE COMPANY OPERATES IN THREE SEGMENTS: CEMENT, AGGREGATES AND CONCRETE AND GYPSUM. THE CEMENT SEGMENT PRODUCES AND SELLS BASIC BUILDING MATERIALS, SPECIAL CEMENTS FOR SPECIFIC APPLICATIONS AND PRODUCTS SUITABLE FOR EXPOSURE TO SEA WATER, SULFATES AND OTHER AGGRESSIVE ENVIRONMENTS. THE AGGREGATES AND CONCRETE SEGMENT PRODUCES AND SELLS AGGREGATES, ASPHALT AND PAVING FOR ENGINEERING STRUCTURES, ROADS AND BUILDING CONSTRUCTION, AND REVAMPED CONCRETE, SELF-PLACING AND SELF-LEVELING CONCRETE, AMONG OTHERS. THE GYPSUM SEGMENT MAINLY PRODUCES AND SELLS PLASTERBOARD SYSTEMS AND GYPSUM-BASED INTERIOR SOLUTIONS, AMO"
NHN.KR,KR7035420009,Naver,"NAVER CORPORATION, FORMERLY NHN CORPORATION, IS A KOREA-BASED COMPANY ENGAGED IN THE ONLINE MEDIA INDUSTRY. ALONG WITH ITS SUBSIDIARIES, THE COMPANY ENGAGES IN THE SEARCH ENGINE, ONLINE GAME AND SOCIAL NETWORK SERVICE (SNS) BUSINESSES. THE COMPANY OPERATES NAVER, WHICH IS AN INTERNET SEARCH ENGINE THAT DISSEMINATES KNOWLEDGE OVER THE INTERNET; HANGAME, WHICH PROVIDES USERS WITH GAMING ENJOYMENT BY OFFERING GAMES IN VARIOUS GENRES; JUNIOR NAVER, WHICH IS A CHILDREN'S PORTAL SITE THAT ALLOWS KIDS TO ACCESS FUN AND USEFUL CONTENTS IN A SAFE AND HEALTHY INTERNET ENVIRONMENT; HAPPYBEAN, WHICH IS AN ONLINE DONATION PORTAL OPERATED BY ITS HAPPYBEAN FOUNDATION, AND ME2DAY, WHICH PROVIDES MICRO-BLOG SERVICES THAT ALLOWS USERS TO SHARE THEIR DAILY TRAILS AND TRIBULATIONS VIA THE MOBILE AND INTERNET ENVIRONMENT, AMONG OTHERS. IT ALSO PROVIDES ONLINE ADVERTISING SERVICES. ON AUGUST 1, 2013, THE COMPANY DIVEST"
HSY,US4278661081,Hershey Company,"MANUFACTURES CANDY BARS, BAGGED AND BOXED CANDIES, MINTS, GU MS, BAKING INGREDIENTS AND CHOCOLATE DRINK MIXES. OTHER PROD UCTS INCLUDE PEANUT BUTTER, DESSERT TOPPINGS AND BEVERAGES. MAJOR BRANDS INCLUDE HERSHEY'S, REESE'S, KIT KAT, JOLLY RANCHER, ICE BREAKERS, ALMOND JOY, YORK PEPPERMINT PATTIES, MOU NDS, PAYDAY AND TWIZZLERS. INTERNATIONAL SALES ACCOUNTED FOR 16% OF 2012 REVENUES. MCLANE COMPANY ACCOUNTED FOR ABOUT 22 % OF REVENUES."
VIS.BR,BRCIELACNOR3,Cielo On Nm,"CIELO SA (FORMERLY COMPANHIA BRASILEIRA DE MEIOS DE PAGAMENTO) IS A BRAZIL-BASED COMPANY THAT PROVIDES SERVICES RELATED TO CREDIT CARDS AND OTHER PAYMENT METHODS. THE COMPANY OFFERS A RANGE OF SERVICES, SUCH AS CAPTURE, TRANSMISSION, PROCESSING AND SETTLEMENT OF TRANSACTIONS USING CREDIT AND DEBIT CARDS; RENTAL, INSTALLATION AND MAINTENANCE OF POINT OF SALE (POS) TERMINALS; CAPTURE AND TRANSMISSION SERVICES FOR TRANSACTIONS CARRIED OUT WITH VOUCHER; WITHDRAWALS USING DEBIT CARDS; RECHARGE OF PREPAID PHONES THROUGH POS, AND ACCREDITATION OF SHOPS AND SERVICE PROVIDERS. THE COMPANY PROVIDES SERVICES FOR THE CREDIT AND DEBIT CARD BRANDS LIKE VISA, MASTERCARD, AMERICAN EXPRESS, DINERS CLUB INTERNATIONAL, JAPAN CREDIT BUREAU (JCB) AND ELO."
FMEX.DE,DE0005785802,Fresenius Med.Care (Xet),"FRESENIUS MEDICAL CARE AG & CO KGAA IS A GERMANY-BASED HOLDING AND KIDNEY DIALYSIS COMPANY, OPERATING IN THE FIELDS OF DIALYSIS PRODUCTS AND DIALYSIS SERVICES. ITS DIALYSIS BUSINESS IS VERTICALLY INTEGRATED, PROVIDING DIALYSIS TREATMENT AT ITS OWN DIALYSIS CLINICS AND SUPPLYING THESE CLINICS WITH A RANGE OF PRODUCTS. IN ADDITION, THE COMPANY SELLS DIALYSIS PRODUCTS TO OTHER DIALYSIS SERVICE PROVIDERS. THE COMPANY OPERATES IN TWO BUSINESS SEGMENTS: NORTH AMERICA AND INTERNATIONAL. THE NORTH AMERICA SEGMENT CONSISTS OF RENAL THERAPY GROUP AND FRESENIUS MEDICAL SERVICES. THE INTERNATIONAL SEGMENT CONSISTS OF EUROPE AND LATIN AMERICA AND ONE ASIA-PACIFIC UNIT. DURING THE YEAR ENDED DECEMBER 31, 2010, THE COMPANY'S SUBSIDIARY, U.S. VASCULAR ACCESS HOLDINGS, LLC, COMPLETED THE ACQUISITION OF NATIONAL VASCULAR CARE INC.; IT ACQUIRED A TOTAL OF 168 EXISTING CLINICS, AND ACQUIRED GAMBRO AB'S PERITONEAL DIA"
HKWH.HK,HK0004000045,Wharf Holdings,"THE WHARF (HOLDINGS) LIMITED IS AN INVESTMENT HOLDING COMPANY. IT HAS FOUR SEGMENTS: PROPERTY INVESTMENT, WHICH INCLUDES PROPERTY LEASING AND HOTEL OPERATIONS, AND ITS PROPERTIES PORTFOLIO CONSISTS OF RETAIL, OFFICE, SERVICE APARTMENTS AND HOTELS, AND IS PRIMARILY LOCATED IN HONG KONG AND MAINLAND CHINA; PROPERTY DEVELOPMENT, WHICH INVOLVES ACTIVITIES RELATING TO THE ACQUISITION, DEVELOPMENT, DESIGN, CONSTRUCTION, SALE AND MARKETING OF ITS TRADING PROPERTIES PRIMARILY IN HONG KONG AND MAINLAND CHINA; LOGISTICS, WHICH INCLUDES THE CONTAINER TERMINAL OPERATIONS UNDERTAKEN BY MODERN TERMINALS LIMITED (MODERN TERMINALS), HONG KONG AIR CARGO TERMINALS LIMITED AND OTHER PUBLIC TRANSPORT OPERATIONS, AND COMMUNICATIONS, MEDIA AND ENTERTAINMENT (CME), WHICH COMPRISES PAY TELEVISION, INTERNET AND MULTIMEDIA AND OTHER BUSINESSES OPERATED BY ITS NON-WHOLLY-OWNED SUBSIDIARY, I-CABLE COMMUNICATIONS LIMITED AND "
K,US4878361082,Kellogg Company,"MANUFACTURES READY-TO-EAT CEREALS AND OTHER GRAIN-BASED CONV ENIENCE FOOD PRODUCTS WORLDWIDE. PRODUCTS INCLUDE CEREALS, C OOKIES, CRACKERS, TOASTER PASTRIES, CEREAL BARS AND FROZEN W AFFLES. BRANDS INCLUDE KELLOGG'S, KEEBLER, CHEEZ-IT AND MURRAY. 2012 REVENUES BY PRODUCT IN %: CEREAL 47; SNACKS 41; AN D FROZEN/SPECIALTY 12. REVENUES BY AREA IN %: NORTH AMERICA 67; EUROPE 18; LATIN AMERICA 8; AND ASIA PACIFIC 7. WAL-MART STORES: 20% OF REVENUES."
AMP,US03076C1062,Ameriprise Financial Inc,"PROVIDES PERSONALIZED FINANCIAL PLANNING, ADVISORY AND BROKE RAGE SERVICES TO INDIVIDUAL/BUSINESS/INSTITUTIONAL CLIENTS T HROUGH A NETWORK OF OVER 9,700 FINANCIAL ADVISORS AND REGIST ERED REPRESENTATIVES. 2012 REVENUES BY SEGMENT IN %: ADVICE AND WEALTH MANAGEMENT 34; ASSET MANAGEMENT 25; ANNUITIES 22; AND PROTECTION AND OTHER 19. 2012 ASSETS MANAGED AND ADMINI STERED STOOD AT $681 BIL, UP 8% FROM 2011. U.S. GENERATED 94 % OF REVENUES."
LGEN.GB,GB0005603997,Legal & General,"LEGAL & GENERAL GROUP PLC IS A PROVIDER OF RISK, SAVINGS AND INVESTMENT MANAGEMENT PRODUCTS IN THE UNITED KINGDOM. THE COMPANY'S OPERATING SEGMENTS INCLUDE PROTECTION AND ANNUITIES SEGMENT CONSISTING OF INDIVIDUAL AND GROUP PROTECTION, INDIVIDUAL AND BULK PURCHASE ANNUITIES, LONGEVITY AND GENERAL INSURANCE; SAVINGS SEGMENT CONSISTING OF NON-PROFIT INVESTMENT BONDS, NON-PROFIT PENSIONS (INCLUDING SELF-INVESTED PERSONAL PENSIONS (SIPPS)), INDIVIDUAL SAVINGS ACCOUNT (ISAS), RETAIL UNIT TRUSTS AND RETAIL PLATFORM BUSINESSES; INVESTMENT MANAGEMENT SEGMENT CONSISTING OF INSTITUTIONAL FUND MANAGEMENT AND LGIM AMERICA (LGIMA); US PROTECTION SEGMENT CONSISTING OF INDIVIDUAL PROTECTION AND UNIVERSAL LIFE CONTRACTS, AND GROUP CAPITAL AND FINANCING CONSISTS OF SHAREHOLDERS' EQUITY SUPPORTING THE NON PROFIT PROTECTION AND ANNUITIES AND SAVINGS BUSINESSES. IN AUGUST 2013, LEGAL & GENERAL GROUP PLC ANNOUNCED THE"
SM@N.JP,JP3914400001,Murata Manufacturing,"MURATA MANUFACTURING CO., LTD. IS PRIMARILY ENGAGED IN ELECTRONIC PARTS BUSINESS. THE COMPANY OPERATES IN TWO BUSINESS SEGMENT. THE ELECTRONIC PARTS MANUFACTURE AND SALE SEGMENTS IS ENGAGED IN THE DEVELOPMENT, MANUFACTURE AND SALE OF ELECTRONIC PARTS AND RELATED PRODUCTS, INCLUDING COMPONENTS FOR CAPACITORS AND PIEZOELECTRIC PRODUCTS, AS WELL AS MODULES PRODUCTS. THE OTHERS SEGMENT IS ENGAGED IN THE PROVISION OF STAFF WELFARE BENEFITS, MANPOWER DISPATCHING SERVICES, EDUCATION TRAINING PROGRAMS, LEASING AND MANAGEMENT OF REAL ESTATE, MAINTENANCE AND CLEANING OF FACILITIES SERVICES, THE DEVELOPMENT OF SOFTWARE AND THE PROVISION OF CONTRACT ANALYSIS SERVICE OF ELECTRONIC PARTS. ON AUGUST 1, 2013, IT FULLY ACQUIRED TOKYO DENPA CO LTD THROUGH STOCK SWAP."
HLT,US43300A1043,Hilton Worldwide Hldgs,"OPERATES 4,080 HOTELS, RESORTS AND TIMESHARE PROPERTIES COMP RISING 671,926 ROOMS IN 90 COUNTRIES AND TERRITORIES UNDER T HE HILTON HOTELS & RESORTS, WALDORF ASTORIE HOTELS & RESORTS , CONRAD HOTELS & RESORTS, DOUBLETREE BY HILTON, EMBASSY SUITES AND OTHER BRAND NAMES. 2012 REVENUES BY SEGMENT IN %: O WNED AND LEASED HOTELS 43; MANAGEMENT AND FRANCHISE FEES AND OTHER 12; TIMESHARE 12; AND OTHER 33. 2012 OCCUPANCY RATE W AS 71.1% VS 69.7% IN 2011."
CLS.HK,CNE1000002L3,China Life Insurance 'H',"CHINA LIFE INSURANCE COMPANY LIMITED IS A CHINA-BASED LIFE INSURANCE COMPANY. THE COMPANY OPERATES ITS BUSINESSES THROUGH INDIVIDUAL INSURANCE BUSINESS, GROUP INSURANCE BUSINESS AND SHORT TERM INSURANCE BUSINESS, WHICH PROVIDES INDIVIDUAL LIFE INSURANCE, GROUP LIFE INSURANCE, CASUALTY INSURANCE AND HEALTH INSURANCE PRODUCTS AND SERVICES, SUCH AS FINANCING INSURANCE, CHILDREN'S INSURANCE, ENDOWMENT INSURANCE AND PROTECTION INSURANCE, AMONG OTHERS. THE COMPANY OPERATES ITS BUSINESSES PRIMARILY IN DOMESTIC MARKET."
WPZ,US96950F1049,Williams Partners Lp,"MLP ENGAGED IN THE GATHERING, TRANSPORTATION AND PROCESSING OF NATURAL GAS AND THE FRACTIONATION AND STORAGE OF NGLS IN THE U.S. AS OF 12/12, OWNED INTERESTS IN 13,700 MILES OF NA TURAL GAS PIPELINES AND 10 PROCESSING PLANTS. 2012 REVENUES BY SEGMENT IN %: MIDSTREAM GAS AND LIQUIDS 77; AND GAS PIPEL INES 23. ONEOK HYDROCARBON LP ACCOUNTED FOR 14% OF REVENUES. WILLIAMS COMPANIES OWNS 68% LIMITED PARTNERSHIP INTEREST IN COMPANY."
PECH.HK,CNE1000003W8,Petrochina 'H',"PETROCHINA CO LTD. PETROCHINA COMPANY LIMITED IS MAINLY ENGAGED IN THE PRODUCTION AND SALE OF OIL AND GAS RELATED PRODUCTS. THE COMPANY'S MAIN BUSINESSES INCLUDE THE EXPLORATION, DEVELOPMENT, PRODUCTION AND SALE OF CRUDE OIL AND NATURAL GAS; REFINING OF CRUDE OIL AND PETROLEUM PRODUCTS, PRODUCTION AND SALE OF BASIC AND DERIVATIVE PETROCHEMICAL PRODUCTS AND OTHER CHEMICAL PRODUCTS; SALE OF REFINED OIL PRODUCTS AND TRADING BUSINESS; THE TRANSPORTATION OF NATURAL GAS, CRUDE OIL AND REFINED OIL, AS WELL AS THE SALE OF NATURAL GAS. THE COMPANY'S MAJOR PRODUCTS INCLUDE GASOLINE, DIESEL, KEROSENE, SYNTHETIC RESIN, SYNTHETIC FIBER RAW MATERIALS AND POLYMERS, SYNTHETIC RUBBER AND UREA. THE COMPANY IS INVOLVED IN THE RETAIL OF REFINED OIL AND THE INTERNATIONAL TRADING OF PETROLEUM AND NATURAL GAS, AND THE CONSTRUCTION AND OPERATION OF OIL AND GAS PIPELINES."
TI,US87927Y1029,Telecom Italia Spa Ads,"ITALIAN PROVIDER OF LOCAL EXCHANGE, WIRELESS AND BROADBAND I NTERNET SERVICES IN ITALY, BRAZIL AND ARGENTINA TO RETAIL CU STOMERS AND WHOLESALE OPERATORS. ALSO DEVELOPS FIBER OPTIC N ETWORKS FOR WHOLESALE CUSTOMERS. AS OF 12/12, OPERATED 13.9 MIL ACCESS LINES AND SERVED 32.1 MIL WIRELESS AND 8.96 MIL B ROADBAND CUSTOMERS. 2012 REVENUES BY AREA IN %: ITALY 60; BR AZIL 25; ARGENTINA 13; AND OTHER 2."
INTU,US4612021034,Intuit Inc,"PROVIDES BUSINESS AND FINANCIAL MANAGEMENT SOFTWARE AND SERV ICES FOR BUSINESSES, ACCOUNTING PROFESSIONALS AND CONSUMERS. PRODUCTS AND SERVICES INCLUDE QUICKBOOKS, TURBOTAX, QUICKEN , TAX PREPARATION/FILING, AND PERSONAL FINANCE. 2012-13 REVENUES BY SEGMENT IN %: CONSUMER TAX 36; FINANCIAL MANAGEMENT SOLUTIONS 20; EMPLOYEE MANAGEMENT SOLUTIONS 14; ACCOUNTING PROFESSIONALS 11; PAYMENT SOLUTIONS 11; AND OTHER 8."
TROW,US74144T1088,Price T Rowe Group Inc,"PROVIDES INVESTMENT ADVISORY SERVICES TO INDIVIDUALS AND INS TITUTIONAL INVESTORS WORLDWIDE. 2012 PRICE FUND ASSETS BY CA TEGORY IN %: STOCK/BLENDED ASSET FUNDS (DOMESTIC AND INTERNA TIONAL) 74; AND BOND AND MONEY MARKET FUNDS 26. 2012 REVENUES BY SEGMENT IN %: INVESTMENT ADVISORY FEES 86; ADMINISTRAT IVE FEES 11; AND DISTRIBUTION AND SERVICING FEES AND OTHER 3 . 2012 TOTAL ASSETS UNDER MANAGEMENT WAS $576.8 BIL, UP 18% FROM 2011."
BSY.GB,GB0001411924,British Sky Bcast.Group,"BRITISH SKY BROADCASTING GROUP PLC (SKY) AND ITS SUBSIDIARIES OPERATES MULTICHANNEL, MULTIPLATFORM PAY TELEVISION SERVICE IN THE UNITED KINGDOM AND IRELAND. IT IS ENGAGED IN OPERATION OF PAY TELEVISION BROADCASTING AND HOME COMMUNICATIONS SERVICES. IT ALSO MANAGES THE NETWORK ASSETS IN THE UNITED KINGDOM. THE COMPANY'S ACTIVITIES INCLUDE ITS RETAIL BUSINESS, ITS CONTENT, WHICH IS ITS CHANNEL PORTFOLIO, ADJACENT BUSINESS, WHICH INCLUDES SKY MEDIA; WHOLESALE DISTRIBUTION AND SKY BETTING GAMING AND INFRASTRUCTURE AND TECHNOLOGY, WHICH INCLUDES SATELLITES; PLAYOUT AND UPLINK FACILITIES; DIGITAL SATELLITE RECEPTION EQUIPMENT; ENCRYPTION AND SECURITY AND COMMUNICATIONS INFRASTRUCTURE. THE COMPANY'S SUBSIDIARIES INCLUDE BRITISH SKY BROADCASTING LIMITED, BSKYB FINANCE UK PLC, BSKYB TELECOMMUNICATIONS LIMITED, SKY SUBSCRIBERS SERVICES LIMITED, SKY HOLDINGS LIMITED, SKY IN-HOME SERVICE LIMITED, BSKYB LLU AS"
AV,US05382A1043,Aviva Plc Adr,"U.K.-BASED PROVIDER OF LONG-TERM INSURANCE AND SAVINGS BUSIN ESS, FUND MANAGEMENT AND HEALTH AND GENERAL INSURANCE. LONG -TERM INSURANCE AND SAVINGS BUSINESS OFFERS PENSIONS AND ANN UITIES. 2012 GROSS WRITTEN PREMIUMS BY PRODUCT IN %: LONG-TERM BUSINESS 58; AND GENERAL INSURANCE AND HEALTH 42. GROSS PREMIUMS BY AREA IN %: U.K. AND IRELAND 50; FRANCE 21; CANAD A 10; AND ALL OTHER 19."
IJH,US4642875078,Ishares S&P Mdcp 400,"EXCHANGE-TRADED FUND SEEKING PERFORMANCE CORRESPONDING TO U.S. MIDCAP STOCKS REPRESENTED BY THE S&P MIDCAP 400 INDEX. BLACKROCK FUND ADVISORS ACTS AS THE FUND'S ADVISOR. AS OF 06/11, INVESTMENTS BY SECTOR IN %: FINANCIALS 19; INFORMATION TECHNOLOGY 16; INDUSTRIALS 16; CONSUMER DISCRETIONARY 13; HEALTH CARE 11; MATERIALS 7; ENERGY 7; UTILITIES 6; AND OTHER 5. 2010-11 PORTFOLIO TURNOVER RATE WAS 14% VS 15% IN 2009-10."
HDF.IN,INE001A01036,Housing Development Fin.,"HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED IS FINANCING BY WAY OF LOANS FOR THE PURCHASE OR CONSTRUCTION OF RESIDENTIAL HOUSES, COMMERCIAL REAL ESTATE AND CERTAIN OTHER PURPOSES IN INDIA. THE COMPANY HAS A NETWORK OF APPROXIMATELY 330 OFFICES (WHICH INCLUDES 83 OFFICES OF ITS WHOLLY OWNED DISTRIBUTION COMPANY HDFC SALES PRIVATE LIMITED) CATERING TO OVER 2,400 TOWNS & CITIES SPREAD ACROSS THE COUNTRY. IT ALSO HAS OFFICES IN DUBAI, LONDON AND SINGAPORE AND SERVICE ASSOCIATES IN THE MIDDLE EAST REGION, TO PROVIDE HOUSING LOANS AND PROPERTY ADVISORY SERVICES TO NON-RESIDENT INDIANS (NRIS) AND PERSONS OF INDIAN ORIGIN (PIOS). ITS PRODUCT RANGE INCLUDES LOANS FOR PURCHASE AND CONSTRUCTION OF A RESIDENTIAL UNIT, PURCHASE OF PLOT, HOME IMPROVEMENT LOANS, HOME EXTENSION LOANS, NON-RESIDENTIAL PREMISES LOANS FOR PROFESSIONALS AND LOAN AGAINST PROPERTY, WHILE ITS FLEXIBLE REPAYMENT OPTIONS INCLUDE STEP "
BDX,US0758871091,Becton Dickinson & Co,"DEVELOPS MEDICAL SUPPLIES, DEVICES, INSTRUMENT SYSTEMS AND R EAGENTS USED BY HEALTHCARE INSTITUTIONS. MARKETED PRODUCTS I NCLUDE SAFETY-ENGINEERED INJECTION, INFUSION AND SURGERY SUP PLIES, NEEDLES AND CATHETERS FOR MEDICATION DELIVERY AND SUPPLIES FOR SAFE COLLECTION AND TRANSPORT OF SPECIMENS AND IN STRUMENT SYSTEMS. 2012-13 REVENUES BY SEGMENT IN %: MEDICAL 53; DIAGNOSTICS 33; AND BIOSCIENCES 14. INTERNATIONAL REVENU ES ACCOUNTED FOR 58%."
ORIX.JP,JP3200450009,Orix,"ORIX CORPORATION IS A FINANCIAL COMPANY. THE CORPORATE FINANCIAL SERVICE SEGMENT IS ENGAGED IN FINANCING, LEASING AND FINANCIAL INSTRUMENT SELLING. THE MAINTENANCE LEASING SEGMENT PROVIDES AUTOMOBILE LEASING SERVICE, CAR RENTING, MEASURING EQUIPMENT LEASING. THE REAL ESTATE SEGMENT IS ENGAGED IN THE DEVELOPMENT AND LEASING OF REAL ESTATE, THE OPERATION AND MANAGEMENT OF ASSETS OF REAL ESTATE INVESTMENT TRUSTS, AND THE INVESTMENT CONSULTANT OF REAL ESTATE. THE BUSINESS INVESTMENT SEGMENT IS INVOLVED IN DEBT COLLECTION, PRINCIPAL INVESTMENT BUSINESSES AND OTHERS. THE RETAIL SEGMENT CONDUCTS BANKING, CARD LOAN AND LIFE INSURANCE BUSINESSES. THE OVERSEAS SEGMENT IS ENGAGED IN LEASING, FINANCING, SECURITIES INVESTMENT, AND INVESTMENT BANKING, AMONG OTHERS. ON JULY 1, 2013, IT ACQUIRED 90% SHARES OF ROBECO GROEP N.V. ON OCTOBER 3, 2013, IT ANNOUNCED THAT IT HAS ACQUIRED 80% INTEREST IN ENOVITY INC."
IP,US4601461035,International Paper Co,"MANUFACTURES PRINTING/WRITING PAPERS, MARKET PULP, PACKAGING PRODUCTS AND CONTAINERBOARD. OPERATES 327,000 ACRES OF FORE STLAND, 39 PULP/PAPER MILLS, 252 CONVERTING/PACKAGING PLANTS , 20 RECYCLING PLANTS, 3 BAG FACILITIES AND 120 DISTRIBUTION BRANCHES. 2012 REVENUES BY PRODUCT IN %: INDUSTRIAL PACKAGIN G 46; PRINTING PAPER 22; DISTRIBUTION 21; AND CONSUMER PACKA GING 11. REVENUES BY AREA IN %: U.S. 77; EUROPE 11; AND OTHE R 12."
RWEX.DE,DE0007037129,Rwe (Xet),"RWE AG IS A GERMANY-BASED ELECTRICITY AND GAS COMPANY. IT DIVERSIFIES ITS ACTIVITIES INTO SEVEN DIVISIONS: GERMANY, WHICH CONSISTS OF THE POWER GENERATION AND SALES AND DISTRIBUTION NETWORKS BUSINESS AREA; NETHERLANDS/BELGIUM; GREAT BRITAIN; THE CENTRAL EASTERN AND SOUTH EASTERN EUROPE; RENEWABLES; UPSTREAM GAS AND OIL, AND TRADING/GAS MIDSTREAM. UNDER THE NETHERLANDS/BELGIUM DIVISION IT REPORTS ON WHOLLY OWNED ESSENT, WHICH PROVIDES GAS, ELECTRICITY, HEAT AND ENERGY SERVICES. THE UNITED KINGDOM DIVISION REPRESENTS RWE NPOWER; THE CENTRAL EASTERN AND SOUTH EASTERN EUROPE DIVISION COVERS ITS SUBSIDIARIES IN POLAND, HUNGARY, THE CZECH REPUBLIC, TURKEY AND SLOVAKIA. THE RENEWABLES DIVISION COMPRISES ALL OF THE ACTIVITIES OF RWE INNOGY, WHICH SPECIALIZES IN ELECTRICITY AND HEAT GENERATION FROM RENEWABLES. THE UPSTREAM GAS & OIL DIVISION PRODUCES GAS AND OIL THROUGH RWE DEA. THE TRADING/GAS MIDSTREAM D"
LBTYK,GB00B8W67B19,Liberty Global Plc Cl C,"PROVIDES VIDEO, VOICE, BROADBAND INTERNET SERVICES THROUGH S UBSIDIARY COMPANIES IN EUROPE, CHILE AND PUERTO RICO. AS OF 12/12, HAD 18.3 MIL VIDEO, 9.2 MIL INTERNET AND 7.3 MIL VOIC E SUBSCRIBERS. REVENUES BY SEGMENT IN %: UPC BROADBAND UNIT (EUROPE) 67; TELENET (BELGIUM) 19; VTR (CHILE) 9; AND OTHER 5. REVENUES BY AREA IN %: GERMANY 22; BELGIUM 19; SWITZERLAN D 12; NETHERLANDS 12; CENTRAL/EASTERN EUROPE 11; CHILE 9; OT HER WESTERN EUROPE 8; OTHER 7."
RWEA.DE,US74975E3036,Rwe Spn.Adr 1:1 (Fra),"RWE AG IS A GERMANY-BASED ELECTRICITY AND GAS COMPANY. IT DIVERSIFIES ITS ACTIVITIES INTO SEVEN DIVISIONS: GERMANY, WHICH CONSISTS OF THE POWER GENERATION AND SALES AND DISTRIBUTION NETWORKS BUSINESS AREA; NETHERLANDS/BELGIUM; GREAT BRITAIN; THE CENTRAL EASTERN AND SOUTH EASTERN EUROPE; RENEWABLES; UPSTREAM GAS AND OIL, AND TRADING/GAS MIDSTREAM. UNDER THE NETHERLANDS/BELGIUM DIVISION IT REPORTS ON WHOLLY OWNED ESSENT, WHICH PROVIDES GAS, ELECTRICITY, HEAT AND ENERGY SERVICES. THE UNITED KINGDOM DIVISION REPRESENTS RWE NPOWER; THE CENTRAL EASTERN AND SOUTH EASTERN EUROPE DIVISION COVERS ITS SUBSIDIARIES IN POLAND, HUNGARY, THE CZECH REPUBLIC, TURKEY AND SLOVAKIA. THE RENEWABLES DIVISION COMPRISES ALL OF THE ACTIVITIES OF RWE INNOGY, WHICH SPECIALIZES IN ELECTRICITY AND HEAT GENERATION FROM RENEWABLES. THE UPSTREAM GAS & OIL DIVISION PRODUCES GAS AND OIL THROUGH RWE DEA. THE TRADING/GAS MIDSTREAM D"
KEP,US5006311063,Korea Electric Power Adr,"SOUTH KOREAN CO ENGAGED IN THE TRANSMISSION AND DISTRIBUTION OF MAJORITY OF THE ELECTRICITY IN SOUTH KOREA. AT 12/12, OW NED ABOUT 84% OF TOTAL ELECTRICITY GENERATING CAPACITY IN KO REA. OWNED 563 GENERATING UNITS WITH A NET INSTALLED CAPACITY OF 68,848 MW. 2012 REVENUES BY SEGMENT IN %: TRANSMISSION /DISTRIBUTION 98; POWER GENERATION 1; AND OTHER 1. GENERATIO N BY ENERGY SOURCE IN %: THERMAL 41; NUCLEAR 30; COMBINED CY CLE 21; AND OTHER 8."
BAM.BE,BE0004601424,Brookfield Cert A,
SYY,US8718291078,Sysco Corp,"DISTRIBUTES FOOD AND RELATED PRODUCTS TO THE FOODSERVICE IND USTRY VIA 193 DISTRIBUTION CENTERS IN THE U.S., CANADA, BAHA MAS AND IRELAND. 2012-13 REVENUES BY PRODUCT IN %: CANNED/DR Y 19; MEATS 19; FRUITS/VEGETABLES 14; DAIRY 11; POULTRY 10; FRESH PRODUCE 8; AND OTHER 19. REVENUES BY CUSTOMER IN %: RE STAURANTS 61; HOSPITALS/NURSING HOMES 9; SCHOOLS/COLLEGES 5; HOTELS/MOTELS 5; AND OTHER 20. SALES TO CANADA ACCOUNTED FO R 11% OF REVENUES."
KAW.KR,KR7015760002,Korea Electric Power,"KOREA ELECTRIC POWER CORPORATION IS A KOREA-BASED COMPANY ENGAGED IN THE GENERATION, TRANSMISSION AND DISTRIBUTION OF ELECTRICITY AND DEVELOPMENT OF ELECTRIC POWER RESOURCES. THE COMPANY AND ITS SUBSIDIARIES ARE MAINLY ENGAGED IN FOUR BUSINESS SEGMENTS: ELECTRICITY SALES SEGMENT, NUCLEAR POWER SEGMENT, THERMAL POWER SEGMENT AND OTHER BUSINESS SEGMENT. ITS ELECTRICITY SALES SEGMENT MAINLY ENGAGES IN THE DEVELOPMENT AND SALE OF POWER RESOURCES. ITS NUCLEAR POWER SEGMENT CONSISTS OF NUCLEAR AND PUMPING-UP POWER GENERATION BUSINESSES. ITS THERMAL POWER SEGMENT CONSISTS OF BITUMINOUS, ANTHRACITE, LIQUEFIED NATURAL GAS AND OTHER POWER GENERATION BUSINESSES. ITS OTHER BUSINESS SEGMENT ENGAGES IN THE DESIGN AND MAINTENANCE OF POWER FACILITIES, PROCESSING OF NUCLEAR FUELS AND PROVISION OF POWER INFORMATION TECHNOLOGY (IT) SERVICES AND OTHERS."
